cluster	SEQFID	genus	species	strain
cluster2230	SEQF2233	Streptococcus	pneumoniae	GA47901
cluster616	SEQF1313	Staphylococcus	aureus	JH9
cluster127	SEQF1061	Treponema	denticola	"ATCC 35405, DSM 14222"
cluster1349	SEQF1715	Klebsiella	pneumoniae	NTUH-K2044
cluster3324	SEQF2806	Actinomyces	oris	T14V
cluster625	SEQF1315	Staphylococcus	aureus	MSSA476
cluster2542	SEQF2341	Streptococcus	oralis subsp. oralis	SK100
cluster1967	SEQF2120	Lactobacillus	salivarius	ACS-116-V-Col5a
cluster295	SEQF1143	Bacillus	anthracis	str. A0389
cluster501	SEQF1264	Neisseria	sicca	ATCC 29256
cluster1774	SEQF1985	Prevotella	buccae	ATCC 33574
cluster3681	SEQF2975	Corynebacterium	amycolatum	hmsc063a05
cluster1106	SEQF1565	Yersinia	pestis	biovar Orientalis str. F1991016
cluster3125	SEQF2695	Pseudomonas	otitidis	nan
cluster967	SEQF1516	Escherichia	coli	O157:H7 str. EC4501
cluster3717	SEQF2988	Corynebacterium	accolens	kpl1814
cluster2745	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster2838	SEQF2537	Delftia	acidovorans	CCUG 274B
cluster1567	SEQF1858	Selenomonas	sp. HMT 137	F0430
cluster3410	SEQF2856	Arthrospira	platensis	paraca
cluster3892	SEQF3047	Corynebacterium	minutissimum	hmsc05e07
cluster3196	SEQF2716	Burkholderia	cepacia	JBK9
cluster2978	SEQF2610	Achromobacter	xylosoxidans	NBRC 15126 = ATCC 27061
cluster845	SEQF1408	Escherichia	coli	0157:H7 str. Sakai
cluster3251	SEQF2746	Arsenicicoccus	bolidensis	F0371
cluster2685	SEQF2437	Aggregatibacter	actinomycetemcomitans	serotype b str. S23A
cluster3696	SEQF2980	Fusobacterium	nucleatum subsp. vincentii	hmsc064b12
cluster648	SEQF1320	Staphylococcus	aureus	"MRSA, USA300, FPR3757"
cluster2455	SEQF2321	Agrobacterium	tumefaciens	5A
cluster1137	SEQF1569	Yersinia	pestis	biovar Orientalis str. PEXU2
cluster1617	SEQF1900	Capnocytophaga	sp. HMT 326	F0382
cluster2120	SEQF2196	Pseudomonas	fluorescens	WH6
cluster1300	SEQF1688	Rothia	aeria	F0184
cluster2224	SEQF2232	Streptococcus	pneumoniae	GA47368
cluster3271	SEQF2763	Mesorhizobium	loti	NZP2037
cluster1738	SEQF1971	Microbacterium	flavescens	F0373
cluster3431	SEQF2866	Corynebacterium	simulans	pes1
cluster2795	SEQF2515	Stenotrophomonas	maltophilia	AU12-09
cluster2494	SEQF2325	Bradyrhizobium	elkanii	587
cluster2794	SEQF2515	Stenotrophomonas	maltophilia	AU12-09
cluster2610	SEQF2386	Actinomyces	naeslundii	str. Howell 279
cluster1950	SEQF2107	Klebsiella	pneumoniae	subsp. pneumoniae HS11286
cluster3397	SEQF2850	Anoxybacillus	flavithermus	dsm_2641t
cluster863	SEQF1449	Enterococcus	faecalis	HH22
cluster1283	SEQF1678	Pseudopropionibacterium	propionicum	F0230a
cluster1396	SEQF1770	Lactobacillus	iners	DSM 13335
cluster497	SEQF1264	Neisseria	sicca	ATCC 29256
cluster2949	SEQF2592	Streptococcus	intermedius	B196
cluster2589	SEQF2381	Pseudomonas	fluorescens	SS101
cluster2602	SEQF2383	Staphylococcus	epidermidis	VCU028
cluster2375	SEQF2291	Bacillus	subtilis	subsp. subtilis RO-NN-1
cluster246	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster3046	SEQF2642	Finegoldia	magna	ALB8
cluster1119	SEQF1567	Yersinia	pestis	biovar Orientalis str. IP275
cluster2039	SEQF2169	Pseudomonas	fluorescens	F113
cluster3258	SEQF2749	Ottowia	sp. HMT 894	W10237
cluster1504	SEQF1835	Staphylococcus	aureus	WW2703/97
cluster2694	SEQF2440	Corynebacterium	urealyticum	DSM 7111
cluster134	SEQF1066	Streptococcus	gordonii	"Challis CH1, ATCC 35105, NCTC7868"
cluster2358	SEQF2290	Bacillus	subtilis	subsp. spizizenii TU-B-10
cluster3272	SEQF2763	Mesorhizobium	loti	NZP2037
cluster3593	SEQF2939	Corynebacterium	aurimucosum	hmsc078a10
cluster3475	SEQF2881	Staphylococcus	capitis	ayp1020
cluster2420	SEQF2302	Streptococcus	pneumoniae	459-5
cluster3255	SEQF2748	Leptotrichia	sp. HMT 212	W10393
cluster2516	SEQF2332	Pseudomonas	fluorescens	A506
cluster1646	SEQF1920	Lysinibacillus	fusiformis	ZC1
cluster2858	SEQF2546	Achromobacter	xylosoxidans	NH44784-1996
cluster2445	SEQF2308	Streptococcus	pneumoniae	ST556
cluster3796	SEQF3016	Haemophilus	influenzae	hmsc071c11
cluster1414	SEQF1794	Neisseria	gonorrhoeae	DGI2
cluster3328	SEQF2807	Tannerella	sp. HMT 286	W11667
cluster1485	SEQF1830	Staphylococcus	aureus	MN8
cluster2371	SEQF2291	Bacillus	subtilis	subsp. subtilis RO-NN-1
cluster1404	SEQF1790	Neisseria	flavescens	SK114
cluster2304	SEQF2277	Corynebacterium	diphtheriae	VA01
cluster3083	SEQF2679	Prevotella	histicola	JCM 15637 = DNF00424
cluster2837	SEQF2537	Delftia	acidovorans	CCUG 274B
cluster1105	SEQF1565	Yersinia	pestis	biovar Orientalis str. F1991016
cluster401	SEQF1195	Neisseria	flavescens	NRL30031/H210
cluster2189	SEQF2226	Streptococcus	pneumoniae	BS455
cluster2442	SEQF2308	Streptococcus	pneumoniae	ST556
cluster1731	SEQF1969	Neisseria	bacilliformis	ATCC BAA-1200
cluster2312	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster1475	SEQF1814	Staphylococcus	aureus	A9765
cluster823	SEQF1405	Streptococcus	pneumoniae	SP3-BS71
cluster1709	SEQF1956	Aggregatibacter	aphrophilus	ATCC 33389
cluster106	SEQF1055	Yersinia	pestis	CO92
cluster1681	SEQF1937	Capnocytophaga	sp. HMT 332	F0381
cluster2323	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster2648	SEQF2408	Burkholderia	cepacia	GG4
cluster2898	SEQF2575	Actinomyces	gerencseriae	DSM 6844
cluster1680	SEQF1937	Capnocytophaga	sp. HMT 332	F0381
cluster2762	SEQF2493	Lactobacillus	casei	CRF28
cluster2996	SEQF2616	Porphyromonas	gingivalis	SJD2
cluster2942	SEQF2590	Streptococcus	constellatus	subsp. pharyngis C232
cluster777	SEQF1384	Acinetobacter	baumannii	ATCC 17978
cluster3162	SEQF2703	Corynebacterium	diphtheriae	DSM 43988
cluster1233	SEQF1640	Staphylococcus	epidermidis	BCM-HMP0060
cluster3769	SEQF3005	Corynebacterium	simulans	hmsc071f07
cluster2605	SEQF2384	Streptococcus	pyogenes	NS88.2
cluster816	SEQF1404	Streptococcus	pneumoniae	SP23-BS72
cluster264	SEQF1132	Mycobacterium	tuberculosis	KZN 605
cluster1217	SEQF1620	Staphylococcus	aureus	JKD6008
cluster1632	SEQF1913	Streptococcus	oralis subsp. tigurinus clade 071	"73H25AP, F0408"
cluster679	SEQF1341	Streptococcus	pneumoniae	670-6B
cluster184	SEQF1096	Mycobacterium	tuberculosis	F11 (ExPEC)
cluster1577	SEQF1866	Treponema	denticola	OTK/F0454
cluster3543	SEQF2908	Roseomonas	gilardii	u14_5
cluster2597	SEQF2382	Pseudomonas	stutzeri	CCUG 29243
cluster3838	SEQF3030	Corynebacterium	tuberculostearicum	kpl1817
cluster2155	SEQF2205	Staphylococcus	epidermidis	14.1.R1.SE
cluster3646	SEQF2957	Corynebacterium	coyleae	hmsc08f01
cluster887	SEQF1486	Acinetobacter	baumannii	MDR-ZJ06
cluster1017	SEQF1529	Streptococcus	pneumoniae	JJA
cluster1031	SEQF1532	Streptococcus	pneumoniae	Taiwan19F-14
cluster3571	SEQF2917	Lachnoanaerobaculum	sp. HMT 083	MSX33
cluster998	SEQF1525	Streptococcus	pneumoniae	CDC1087-00
cluster3683	SEQF2975	Corynebacterium	amycolatum	hmsc063a05
cluster083	SEQF1041	Bacillus	anthracis	Sterne
cluster664	SEQF1330	Stenotrophomonas	maltophilia	R551-3
cluster3240	SEQF2741	Porphyromonas	gingivalis	A7436
cluster3494	SEQF2889	Serratia	marcescens	rsc_14
cluster3343	SEQF2818	Fusobacterium	nucleatum subsp. vincentii	"ChDC F8,KCOM 1231"
cluster2761	SEQF2493	Lactobacillus	casei	CRF28
cluster1909	SEQF2062	Finegoldia	magna	BVS033A4
cluster817	SEQF1404	Streptococcus	pneumoniae	SP23-BS72
cluster923	SEQF1501	Lactococcus	lactis	SK11
cluster2957	SEQF2600	Lactobacillus	acidophilus	CIP 76.13
cluster324	SEQF1164	Acinetobacter	baumannii	AYE
cluster1559	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster3476	SEQF2881	Staphylococcus	capitis	ayp1020
cluster3006	SEQF2620	Rhodobacter	capsulatus	DE442
cluster2879	SEQF2560	Lactococcus	lactis	str. TIFN2
cluster442	SEQF1217	Escherichia	coli	S88 (O45:K1)
cluster1337	SEQF1710	Escherichia	coli	O111:H- str. 11128
cluster3526	SEQF2899	Neisseria	cinerea	atcc_14685
cluster1125	SEQF1568	Yersinia	pestis	biovar Orientalis str. MG05-1020
cluster2619	SEQF2389	Fusobacterium	necrophorum	subsp. funduliforme Fnf 1007
cluster3390	SEQF2848	Micavibrio	aeruginosavorus	arl_13
cluster050	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster828	SEQF1406	Streptococcus	pneumoniae	SP6-BS73
cluster3557	SEQF2912	Corynebacterium	urealyticum	hmsc27b11
cluster3299	SEQF2786	Streptococcus	infantis clade 431	F0610 (5-114)
cluster3684	SEQF2976	Haemophilus	parainfluenzae	hmsc073c03
cluster3535	SEQF2905	Streptococcus	sp. HMT 064	W10853
cluster3501	SEQF2890	Dietzia	cinnamea	p4
cluster3709	SEQF2986	Corynebacterium	accolens	kpl1818
cluster2565	SEQF2351	Neisseria	sicca	VK64
cluster691	SEQF1344	Streptococcus	pneumoniae	INV200
cluster450	SEQF1219	Escherichia	coli	UTI89
cluster544	SEQF1295	Pseudomonas	aeruginosa	PA7
cluster686	SEQF1343	Streptococcus	pneumoniae	INV104
cluster1432	SEQF1803	Staphylococcus	aureus	A10102
cluster2979	SEQF2610	Achromobacter	xylosoxidans	NBRC 15126 = ATCC 27061
cluster2035	SEQF2169	Pseudomonas	fluorescens	F113
cluster2060	SEQF2173	Staphylococcus	aureus	04-02981
cluster242	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster3074	SEQF2673	Ochrobactrum	anthropi	W13P3
cluster3129	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster1657	SEQF1926	Achromobacter	xylosoxidans	A8
cluster690	SEQF1343	Streptococcus	pneumoniae	INV104
cluster3608	SEQF2944	Corynebacterium	aurimucosum	hmsc072d12
cluster795	SEQF1400	Streptococcus	pneumoniae	SP11-BS70
cluster1095	SEQF1564	Yersinia	pestis	biovar Medievalis str. Harbin 35
cluster080	SEQF1038	Bacillus	anthracis	Ames Ancestor
cluster1595	SEQF1878	Treponema	denticola	ATCC 33521
cluster465	SEQF1232	Haemophilus	influenzae	PittGG
cluster3016	SEQF2623	Rhodobacter	capsulatus	YW1
cluster2831	SEQF2536	Delftia	acidovorans	CCUG 15835
cluster330	SEQF1165	Neisseria	subflava	NJ9703
cluster1877	SEQF2039	Bacillus	subtilis	subsp. natto BEST195
cluster1042	SEQF1544	Listeria	monocytogenes	FSL N1-017
cluster627	SEQF1315	Staphylococcus	aureus	MSSA476
cluster592	SEQF1302	Pseudomonas	fluorescens	SBW25
cluster3694	SEQF2979	Corynebacterium	amycolatum	hmsc064e10
cluster2078	SEQF2184	Yersinia	pestis	A1122
cluster058	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster715	SEQF1356	Streptococcus	pyogenes	MGAS10270
cluster033	SEQF1028	Leptotrichia	buccalis	ATCC 14201
cluster3759	SEQF3002	Corynebacterium	simulans	hmsc077d03
cluster854	SEQF1430	Escherichia	coli	APEC O1
cluster011	SEQF1013	Corynebacterium	matruchotii	ATCC 14266
cluster1810	SEQF1994	Rothia	dentocariosa	M567
cluster1779	SEQF1991	Pseudomonas	aeruginosa	138244
cluster2964	SEQF2603	Ralstonia	pickettii	DTP0602
cluster1501	SEQF1833	Staphylococcus	aureus	TCH70
cluster851	SEQF1429	Escherichia	coli	C str. ATCC 8739
cluster1114	SEQF1566	Yersinia	pestis	biovar Orientalis str. India 195
cluster2782	SEQF2508	Prevotella	maculosa	DSM 19339
cluster2596	SEQF2381	Pseudomonas	fluorescens	SS101
cluster840	SEQF1407	Streptococcus	pneumoniae	SP9-BS68
cluster060	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster871	SEQF1457	Ochrobactrum	anthropi	ATCC 49188
cluster1820	SEQF1998	Streptococcus	oralis subsp. oralis	ATCC 6249
cluster453	SEQF1220	Escherichia	coli	K12 W3110
cluster2783	SEQF2509	Prevotella	micans	DSM 21469
cluster1892	SEQF2051	Haemophilus	influenzae	F3047
cluster1945	SEQF2106	Klebsiella	pneumoniae	KCTC 2242
cluster865	SEQF1451	Bacteroidales [G-2]	bacterium HMT 274	F0058
cluster2387	SEQF2293	Bacillus	subtilis	subsp. spizizenii ATCC 6633
cluster2884	SEQF2563	Prevotella	denticola	DSM 20614
cluster3597	SEQF2940	Corynebacterium	accolens	kpl1859
cluster527	SEQF1286	Cutibacterium	acnes	"KPA171202, DSM 16379"
cluster3714	SEQF2987	Corynebacterium	tuberculostearicum	og2
cluster2707	SEQF2446	Mitsuokella	sp. HMT 131	W9106
cluster2575	SEQF2356	Porphyromonas	gingivalis	F0570
cluster947	SEQF1511	Escherichia	coli	O157:H7 str. EC4115
cluster579	SEQF1300	Pseudomonas	fluorescens	Pf-5
cluster454	SEQF1220	Escherichia	coli	K12 W3110
cluster1850	SEQF2029	Achromobacter	xylosoxidans	AXX-A
cluster3773	SEQF3007	Corynebacterium	coyleae	hmsc036e10
cluster1821	SEQF1998	Streptococcus	oralis subsp. oralis	ATCC 6249
cluster3744	SEQF2998	Corynebacterium	pilbarense	hmsc034a01
cluster3135	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster583	SEQF1301	Pseudomonas	fluorescens	Pf0-1
cluster1674	SEQF1929	Streptococcus	pneumoniae	AP200
cluster448	SEQF1218	Escherichia	coli	UMN026 (O17:K52:H18)
cluster3588	SEQF2937	Corynebacterium	accolens	kpl1986
cluster1355	SEQF1719	Lactococcus	lactis	KF147
cluster3880	SEQF3044	Corynebacterium	striatum	hmsc05d08
cluster628	SEQF1315	Staphylococcus	aureus	MSSA476
cluster3480	SEQF2883	Aerococcus	viridans	fdaargos_249
cluster907	SEQF1491	Staphylococcus	aureus	USA300_TCH959
cluster552	SEQF1297	Pseudomonas	aeruginosa	PAO1
cluster1907	SEQF2062	Finegoldia	magna	BVS033A4
cluster1896	SEQF2056	Brevundimonas	diminuta	ATCC 11568
cluster017	SEQF1016	Eikenella	corrodens	ATCC 23834
cluster2539	SEQF2339	Streptococcus	mitis	SK616
cluster3139	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster2145	SEQF2203	Staphylococcus	aureus	O46
cluster1882	SEQF2039	Bacillus	subtilis	subsp. natto BEST195
cluster3383	SEQF2846	Corynebacterium	singulare	ibs_b52218
cluster2415	SEQF2302	Streptococcus	pneumoniae	459-5
cluster2641	SEQF2407	Turicella	otitidis	ATCC 51513
cluster1328	SEQF1709	Bacillus	anthracis	CDC 684
cluster3503	SEQF2890	Dietzia	cinnamea	p4
cluster2885	SEQF2564	Veillonella	parvula	HSIVP1
cluster2671	SEQF2421	Lactobacillus	crispatus	FB049-03
cluster3159	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster1323	SEQF1708	Bacillus	anthracis	A0248
cluster2172	SEQF2211	Streptococcus	constellatus	subsp. pharyngis SK1060
cluster1205	SEQF1619	Pseudomonas	aeruginosa	LESB58
cluster681	SEQF1342	Streptococcus	pneumoniae	 D39
cluster1684	SEQF1937	Capnocytophaga	sp. HMT 332	F0381
cluster3555	SEQF2912	Corynebacterium	urealyticum	hmsc27b11
cluster1711	SEQF1956	Aggregatibacter	aphrophilus	ATCC 33389
cluster365	SEQF1183	Neisseria	polysaccharea	ATCC 43768
cluster3137	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster1399	SEQF1777	Lactobacillus	paracasei	ATCC 25302
cluster911	SEQF1492	Staphylococcus	aureus	MRSA USA300_TCH1516
cluster2383	SEQF2293	Bacillus	subtilis	subsp. spizizenii ATCC 6633
cluster420	SEQF1200	Escherichia	coli	ED1a (O81)
cluster348	SEQF1173	Bacillus	subtilis	BSn5
cluster2106	SEQF2192	Cutibacterium	acnes	SK187
cluster3434	SEQF2866	Corynebacterium	simulans	pes1
cluster1285	SEQF1678	Pseudopropionibacterium	propionicum	F0230a
cluster248	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster2349	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster3790	SEQF3013	Corynebacterium	amycolatum	hmsc072b08
cluster1912	SEQF2063	Finegoldia	magna	SY403409CC001050417
cluster3663	SEQF2968	Corynebacterium	coyleae	hmsc034b08
cluster1794	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster1351	SEQF1715	Klebsiella	pneumoniae	NTUH-K2044
cluster1523	SEQF1843	Streptococcus	salivarius	SK126
cluster1848	SEQF2029	Achromobacter	xylosoxidans	AXX-A
cluster036	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster3040	SEQF2637	Tannerella	sp. HMT 286	isolate Cell 6/7/9
cluster586	SEQF1301	Pseudomonas	fluorescens	Pf0-1
cluster1331	SEQF1709	Bacillus	anthracis	CDC 684
cluster1481	SEQF1815	Staphylococcus	aureus	A9781
cluster800	SEQF1401	Streptococcus	pneumoniae	SP14-BS69
cluster1307	SEQF1693	Actinomyces	sp. HMT 171	F0337
cluster376	SEQF1185	Cronobacter	sakazakii	ATCC BAA-894
cluster3633	SEQF2954	Corynebacterium	accolens	kpl1824
cluster2790	SEQF2514	Ralstonia	pickettii	OR214
cluster181	SEQF1087	Agrobacterium	tumefaciens	biovar II K84
cluster2991	SEQF2615	Eikenella	corrodens	CC92I
cluster675	SEQF1341	Streptococcus	pneumoniae	670-6B
cluster241	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster2146	SEQF2203	Staphylococcus	aureus	O46
cluster1891	SEQF2050	Haemophilus	influenzae	F3031
cluster2920	SEQF2583	Acidipropionibacterium	acidifaciens	DSM 21887
cluster1690	SEQF1940	Treponema	medium	ATCC 700293
cluster3524	SEQF2899	Neisseria	cinerea	atcc_14685
cluster3517	SEQF2895	Staphylococcus	pettenkoferi	fdaargos_288
cluster3747	SEQF2999	Corynebacterium	striatum	hmsc06c06
cluster2238	SEQF2242	Streptococcus	pyogenes	ATCC 10782
cluster3491	SEQF2888	Peptoniphilus	harei	acs_146_v_sch2b
cluster741	SEQF1363	Streptococcus	pyogenes	"MGAS8232, ATCC BAA-572"
cluster2193	SEQF2226	Streptococcus	pneumoniae	BS455
cluster2278	SEQF2271	Corynebacterium	diphtheriae	HC01
cluster1293	SEQF1684	Capnocytophaga	leadbetteri	F0087
cluster2908	SEQF2583	Acidipropionibacterium	acidifaciens	DSM 21887
cluster738	SEQF1362	Streptococcus	pyogenes	"M28 MGAS6180, ATCC BAA-1064"
cluster1568	SEQF1860	Cardiobacterium	valvarum	F0432
cluster446	SEQF1218	Escherichia	coli	UMN026 (O17:K52:H18)
cluster499	SEQF1264	Neisseria	sicca	ATCC 29256
cluster2271	SEQF2270	Corynebacterium	diphtheriae	CDCE 8392
cluster3315	SEQF2794	Desulfomicrobium	orale	DSM 12838
cluster835	SEQF1407	Streptococcus	pneumoniae	SP9-BS68
cluster2695	SEQF2441	Lactobacillus	plantarum	ZJ316
cluster1086	SEQF1562	Yersinia	pestis	biovar Antiqua str. UG05-0454
cluster428	SEQF1206	Escherichia	coli	IAI1 (O8)
cluster304	SEQF1151	Bacillus	anthracis	str. A0465
cluster3181	SEQF2711	Kluyvera	ascorbata	ATCC 33433
cluster2177	SEQF2217	Streptococcus	mitis	SK1073
cluster889	SEQF1486	Acinetobacter	baumannii	MDR-ZJ06
cluster719	SEQF1357	Streptococcus	pyogenes	"M6 MGAS10394, ATCC BAA-946"
cluster125	SEQF1059	Streptococcus	pneumoniae	G54
cluster150	SEQF1072	Tannerella	forsythia	"92A2 not ATCC 43037, FDC 338"
cluster813	SEQF1404	Streptococcus	pneumoniae	SP23-BS72
cluster2341	SEQF2288	Neisseria	meningitidis	WUE 2594
cluster2623	SEQF2393	Proteus	mirabilis	WGLW4
cluster1586	SEQF1872	Treponema	denticola	ASLM/F0460
cluster252	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster258	SEQF1132	Mycobacterium	tuberculosis	KZN 605
cluster1986	SEQF2147	Prevotella	maculosa	"OT 289, F0099"
cluster553	SEQF1297	Pseudomonas	aeruginosa	PAO1
cluster3586	SEQF2937	Corynebacterium	accolens	kpl1986
cluster3232	SEQF2730	Prevotella	bivia	DNF00650
cluster2864	SEQF2549	Enterococcus	casseliflavus	14-MB-W-14
cluster3380	SEQF2846	Corynebacterium	singulare	ibs_b52218
cluster2744	SEQF2486	Desulfobulbus	sp. HMT 041	Dsb3
cluster3104	SEQF2690	Cronobacter	sakazakii	CMCC 45402
cluster2350	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster1383	SEQF1754	Escherichia	coli	83972
cluster2901	SEQF2575	Actinomyces	gerencseriae	DSM 6844
cluster1050	SEQF1556	Yersinia	pestis	CA88-4125
cluster1005	SEQF1526	Streptococcus	pneumoniae	CDC1873-00
cluster3705	SEQF2984	Corynebacterium	pseudodiphtheriticum	kpl1995
cluster2045	SEQF2170	Pseudomonas	stutzeri	ATCC 17588 = LMG 11199
cluster1771	SEQF1983	Fusobacterium	gonidiaformans	ATCC 25563
cluster2622	SEQF2393	Proteus	mirabilis	WGLW4
cluster3024	SEQF2629	Leptotrichia	goodfellowii	DSM 19756
cluster225	SEQF1129	Mycobacterium	tuberculosis	H37Ra
cluster1022	SEQF1530	Streptococcus	pneumoniae	MLV-016
cluster2483	SEQF2325	Bradyrhizobium	elkanii	587
cluster2936	SEQF2588	Streptococcus	anginosus	C238
cluster1822	SEQF1998	Streptococcus	oralis subsp. oralis	ATCC 6249
cluster515	SEQF1276	Neisseria	meningitidis	MC58
cluster703	SEQF1346	Streptococcus	pneumoniae	R6
cluster282	SEQF1140	Bacillus	anthracis	str. A0174
cluster709	SEQF1349	Streptococcus	pneumoniae	TIGR4
cluster3721	SEQF2989	Corynebacterium	aurimucosum	hmsc074h12
cluster3204	SEQF2716	Burkholderia	cepacia	JBK9
cluster3264	SEQF2757	Treponema	socranskii	ATCC 35536
cluster022	SEQF1025	Mesorhizobium	loti	MAFF303099
cluster1023	SEQF1530	Streptococcus	pneumoniae	MLV-016
cluster1689	SEQF1939	Veillonella	atypica	"KON, ATCC 17744"
cluster3545	SEQF2909	Staphylococcus	lugdunensis	fdaargos_143
cluster1070	SEQF1560	Yersinia	pestis	biovar Antiqua str. B42003004
cluster277	SEQF1139	Bacillus	anthracis	Tsiankovskii-I
cluster645	SEQF1319	Staphylococcus	aureus	NCTC 8325
cluster2855	SEQF2546	Achromobacter	xylosoxidans	NH44784-1996
cluster932	SEQF1507	Escherichia	coli	O157:H7 str. EC4042
cluster1873	SEQF2036	Anaerococcus	prevotii	ACS-065-V-Col13
cluster3252	SEQF2747	Capnocytophaga	sp. HMT 323	F0383
cluster247	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster1749	SEQF1976	Corynebacterium	urealyticum	DSM 7109
cluster2311	SEQF2283	Mycobacterium	tuberculosis	CTRI-2
cluster3270	SEQF2763	Mesorhizobium	loti	NZP2037
cluster2995	SEQF2615	Eikenella	corrodens	CC92I
cluster1642	SEQF1917	Streptococcus	oralis subsp. oralis	"ATCC 35037, SK23, NCTC11427"
cluster3228	SEQF2729	Prevotella	bivia	DNF00320
cluster1109	SEQF1565	Yersinia	pestis	biovar Orientalis str. F1991016
cluster1480	SEQF1815	Staphylococcus	aureus	A9781
cluster1763	SEQF1980	Rhodobacter	capsulatus	SB 1003
cluster3176	SEQF2709	Delftia	acidovorans	2167 DR66
cluster3445	SEQF2871	Kocuria	rhizophila	fdaargos_302
cluster3346	SEQF2819	Fusobacterium	nucleatum subsp. vincentii	3_1_27
cluster2012	SEQF2167	Pseudomonas	aeruginosa	M18
cluster3321	SEQF2803	Stenotrophomonas	nitritireducens	DSM 12575
cluster001	SEQF1006	Capnocytophaga	ochracea	F0287
cluster287	SEQF1141	Bacillus	anthracis	str. A0193
cluster3432	SEQF2866	Corynebacterium	simulans	pes1
cluster2468	SEQF2324	Bacillus	subtilis	subsp. subtilis str. SC-8
cluster1561	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster3823	SEQF3027	Corynebacterium	accolens	kpl1996
cluster1582	SEQF1870	Treponema	denticola	MYR-T/F0458
cluster3416	SEQF2859	Corynebacterium	striatum	kc_na_01
cluster1090	SEQF1563	Yersinia	pestis	biovar Mediaevalis str. K1973002
cluster2971	SEQF2604	Enterobacter	cancerogenus	YZ1
cluster1613	SEQF1897	Corynebacterium	durum	F0235
cluster3629	SEQF2953	Corynebacterium	accolens	kpl2004
cluster1346	SEQF1713	Escherichia	coli	BW2952
cluster2235	SEQF2241	Streptococcus	pneumoniae	SPNA45
cluster774	SEQF1384	Acinetobacter	baumannii	ATCC 17978
cluster644	SEQF1319	Staphylococcus	aureus	NCTC 8325
cluster1202	SEQF1619	Pseudomonas	aeruginosa	LESB58
cluster2912	SEQF2583	Acidipropionibacterium	acidifaciens	DSM 21887
cluster046	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster1975	SEQF2141	Neisseria	lactamica	Y92-1009
cluster2104	SEQF2190	Cutibacterium	acnes	SK182
cluster3519	SEQF2895	Staphylococcus	pettenkoferi	fdaargos_288
cluster1388	SEQF1760	Klebsiella	pneumoniae	ATCC 13884
cluster408	SEQF1196	Escherichia	coli	E110019 (O111:H9)
cluster662	SEQF1330	Stenotrophomonas	maltophilia	R551-3
cluster556	SEQF1297	Pseudomonas	aeruginosa	PAO1
cluster1361	SEQF1723	Neisseria	meningitidis	alpha14
cluster2389	SEQF2295	Aggregatibacter	actinomycetemcomitans	serotype e str. SC1083
cluster1799	SEQF1992	Pseudomonas	aeruginosa	HB15
cluster2471	SEQF2324	Bacillus	subtilis	subsp. subtilis str. SC-8
cluster043	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster1550	SEQF1851	Acidipropionibacterium	acidifaciens	F0233
cluster171	SEQF1086	Bordetella	pertussis	"Tohama I, ATCC BAA-589, NCTC-13251"
cluster1185	SEQF1599	Slackia	exigua	ATCC 700122
cluster2495	SEQF2325	Bradyrhizobium	elkanii	587
cluster657	SEQF1329	Stenotrophomonas	maltophilia	K279a
cluster1985	SEQF2147	Prevotella	maculosa	"OT 289, F0099"
cluster3820	SEQF3026	Corynebacterium	accolens	kpl1998
cluster1683	SEQF1937	Capnocytophaga	sp. HMT 332	F0381
cluster1000	SEQF1525	Streptococcus	pneumoniae	CDC1087-00
cluster1938	SEQF2100	Lactobacillus	iners	SPIN 2503V10-D
cluster2105	SEQF2192	Cutibacterium	acnes	SK187
cluster073	SEQF1037	Bacillus	anthracis	Ames
cluster3785	SEQF3012	Corynebacterium	amycolatum	hfh0082
cluster806	SEQF1402	Streptococcus	pneumoniae	SP18-BS74
cluster2121	SEQF2196	Pseudomonas	fluorescens	WH6
